Customer Name,Address Line1,Address Line2,Address Line3,Address Line4,Postcode,Telephone,Mobile,Email,Web,VAT No,Company No,Contact Salutation,Contact First Name,Contact Last Name,Contact Position,Contact Email,Contact Phone,Contact Mobile,Industry
Impact Plus,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Imperial Fiat,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0181 675 0241,,,,,,,,,,,,,,
Imperial Tobacco,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Imprint Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 0141 849 0199,,,http://www.imprintpublishing.co.uk/,,,,,,,,,,,
In Focus,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
In Tha' House,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
In Your Fare Publishing Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Incepta Online,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 282 2800,,,www.inceptaonline.com,,,,,,,,,,,
Incisive Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7484 9700,,,,,,,,,,,,,,
Incite UK,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Independent,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Independent Regional Newspapers,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7005 2000,,,,,,,,,,,,,,
Industrial Bank of Japan,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7248 1111,,,,,,,,,,,,,,
Industrial Temperature Sensors & Heating Elements Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0191 483 2020, 0191 4832121,,www.ithltd.co.uk/,,,,,,,,,,,
Infineer Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,02891 476000,,,,,,,,,,,,,,
Informa,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7553 1000,,,,,,,,,,,,,,
Informa Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7637 4383,,,,,,,,,,,,,,
Informa Group Maritime,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7553 1000,,,,,,,,,,,,,,
Informa Group Media & Telecoms,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7017 5000,,,,,,,,,,,,,,
Informa Group Professional,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,02070175000,020 7553 1117,,,,,,,,,,,,,
Informa Group2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7017 5000,7453 2802,,,,,,,,,,,,,
Informa Telecoms,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7017 5000,,,,,,,,,,,,,,
Information Group Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Infospace,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Infoterra,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Infoterra,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+44 (0)116 273 2300,,,,,,,,,,,,,,
Initiative London,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 6637000 ,,,www.initiativemedia.com,,,,,,,,,,,
Inkfish,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01753 441 000,01753 441 010,,,,,,,,,,,,,
Inkjets & Toners,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01458 274 744,01458 274 825,,,,,,,,,,,,,
Innogistic Software,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0117 904 6622,0117 904 6688,,www.innogistic.co.uk,,,,,,,,,,,
Innovation Network,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8547 3060,,,,,,,,,,,,,,
Innovis Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01970 828236,01970 822018,,www.innovis.org.uk,,,,,,,,,,,
Inside Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Inside Communications Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 020 7772 8300,020 7772 8599,,,,,,,,,,,,,
Insider Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)161 907 9711,(0)161 236 9862,,www.insidermagazine.co.uk,,,,,,,,,,,
Insight Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Insight Vehicle Management Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 011 0080,0870 011 2733,,www.insightvm.co.uk,,,,,,,,,,,
Insignia Richard Ellis,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0161 233 5600,,,,,,,,,,,,,,
Inspector Home,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0845 051 1015,, vanessa@InspectorHome.co.uk,www.inspectorhome.co.uk,,,,,,,,,,,
Instant Library Recruitment,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Instinctive Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01234 302233,,,www.instinctiveuk.com,,,,,,,,,,,
Instinet Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 1548400,,,,,,,,,,,,,,
Institute of Customer Service,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Institute of Financial Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01227 762600,01227 456 275,,,,,,,,,,,,,
Institute of Management,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 497 0580,0171 497 0463,,,,,,,,,,,,,
Institute of Physics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 470 4800,0207 470 4848,,www.iop.org,,,,,,,,,,,
Institute of Public Relations,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Institution of Electrical Engineers,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01438 313 311,,,,,,,,,,,,,,
Insurance Times,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7618 3402,,,,,,,,,,,,,,
Insurecom Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01273 852000,,,www.insurecom.co.uk,,,,,,,,,,,
Int'l Securities Market Association,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7538 5656,,,,,,,,,,,,,,
INTECH International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+971 4 3316800,+971 4 3316600,,www.intech-online.com,,,,,,,,,,,
Integrated Communications for Business UK Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870-848-5600,0870-848-5700,,http://www.icbuk.net,,,,,,,,,,,
Integrated Design Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)1784 245 941,(0)1784 240 647,,,,,,,,,,,,,
"Integrated Design Ltd,",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)1784 245 941,(0)1784 240 647,,,,,,,,,,,,,
Integrex,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01283 551 551,,,http://www.integrex.co.uk,,,,,,,,,,,
Intel Corporation (UK) Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01793 403 000,,,,,,,,,,,,,,
Intelligent Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Interact,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01245 608201,,,,,,,,,,,,,,
Interactive Prospect Targeting,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7932 4100,(0)20 7834 5708,,www.ipt-ltd.co.uk,,,,,,,,,,,
Interalliance,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,020 7074 3001,,http://www.inter-alliance.co.uk,,,,,,,,,,,
Interchange,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Interesource New Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 060 5260,,,www.interesource.com,,,,,,,,,,,
Interights,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
International Bar Association,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7691 6868,,,www.ibanet.org,,,,,,,,,,,
International Cricket Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
International Petroleum Exchange,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0) 20 7481 0643,(0) 20 7481 8485,,http://www.ipe.uk.com,,,,,,,,,,,
International Sexurities,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
International Trade Department,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 023 0990,,,,,,,,,,,,,,
International Training Network,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Internet Directory Enquiries,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0114 252 7300,,,,,,,,,,,,,,
Intertech Testing Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Intuition,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Intuition,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7403 7050,,,,,,,,,,,,,,
Invesco,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,020 7782 0492,,,,,,,,,,,,,
Invesco Perpetual,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7065 4000,,,,,,,,,,,,,,
Investment Education Plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0161 832 3800,,,,,,,,,,,,,,
Invista,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,www.invista.com,,,,,,,,,,,
INVOSHIRE LTD,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
IOM London,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 233 0001,,,www.ionlondon.org,,,,,,,,,,,
Iona Netherlands,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,31 (0) 30 298 2260,,,,,,,,,,,,,,
Iona Uk,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0118 944 3400,0118 944 3401,,,,,,,,,,,,,
IOP Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01179 297 481,,,,,,,,,,,,,,
IOR Global Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,http://www.iorworld.com/,,,,,,,,,,,
IPC,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7261 5000,,,,,,,,,,,,,,
IPC Communication Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
IPC Magazines,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 261 5000,,,,,,,,,,,,,,
IPPM,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Ipulsys,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Iranian Association,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8748 6682,,,,,,,,,,,,,,
Iris Nation,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7654 7900,020 7654 7901,,,,,,,,,,,,,
IS Integration,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01772 885 850,,,,,,,,,,,,,,
iSky,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0800 25 20 32,,,,,,,,,,,,,,
Islington Gazette,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8340 6868,,,,,,,,,,,,,,
IT Associates,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+ 352 26 300 694,,,,,,,,,,,,,,
ITC (Independent Theatre Council),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7403 1727,,,,,,,,,,,,,,
ITN Archive,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7430 4437,020 7430 4453,,www.itnarchive.com,,,,,,,,,,,
ITV Network Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7843 8000,020 7843 8158,,,,,,,,,,,,,
ITW Gema,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01202 57 11 11,,,,,,,,,,,,,,
J P Morgan,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7777 2000,,,,,,,,,,,,,,
J P MORGAN BANK,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01202342100,,,,,,,,,,,,,,
J P Morgan/ Co Incorporated,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
J Walter Thompson,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 656 7000 ,,,,,,,,,,,,,,
J. Sheekey,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
J. Whittaker & Son,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7420 6000,020 7420 6191,,,,,,,,,,,,,
J.P.Morgan & Co. Inc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7600 2300,,,,,,,,,,,,,,
Jackie Cooper PR,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7208 7208,020 7248 0485,,http://jcpr.com,,,,,,,,,,,
"jake, inc",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,jwheat@evolutiondb.co.uk,,,,Dr,xx,xxx,,,,,Import,
Jane's Information Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8700 3700,,,,,,,,,,,,,,
Janine Marshall,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Janssen Cirag,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,07876 578121,,,,,,,,,,,,,,
Jarvis,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01904 712405,,,,,,,,,,,,,,
Jarvis Hotels,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01494 473800,,,www.jarvis.co.uk,,,,,,,,,,,
Jato Dynamics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8423 7100,,,,,,,,,,,,,,
Java Restaurant,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01248 361 652,,,,,,,,,,,,,,
Javelin Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7961 3200,,020 7961 3299,www.jav.co.uk,,,,,,,,,,,
Javelin Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7961 3206,,,www.javelingroup.com,,,,,,,,,,,
JB International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8446 7555,,,www.jbinternational.co.uk,,,,,,,,,,,
JBP Associates,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01179 073 400,,,,,,,,,,,,,,
Jessica Kingsley Publishers,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7833 2307,,,,,,,,,,,,,,
Jessops,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0116 232 6000,,,www.jessops.com,,,,,,,,,,,
Jetix Europe Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8222 3600,020 7554 9005,,,,,,,,,,,,,
Jewson Builders Merchants,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,024 7643 8400,,,,,,,,,,,,,,
Jeyes Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(01842) 757575,(01842) 757604,,www.jeyes.co.uk,,,,,,,,,,,
JJP Solutions,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01252 671 040,,,,,,,,,,,,,,
Joe Public Relations,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8237 4000,,,,,,,,,,,,,,
John Brown Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7565 3000,,,,,,,,,,,,,,
John Dickinson Stationery Ltd.,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01223 830 083,01223 835 774,,,,,,,,,,,,,
John Nixon Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0191 226 0666,0191 272 2176,,,,,,,,,,,,,
John Wiley,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Johnson King PR,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7357 7799,,,,,,,,,,,,,,
Jonathan Street PR,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7723 8904,,,,,,,,,,,,,,
Jones Lang Lasalle,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7493 6040,"0020 7408 0220
20 7408 0220",,www.joneslanglasalle.co.uk,,,,,,,,,,,
Jonkers Books,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01491 576427,,info@jonkers.co.uk,www.jonkers.co.uk,,,,,,,,,,,
Jordans Cereals,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Joseph Koniak,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Joshua,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 453 7900 ,,,www.joshua-agency.co.uk,,,,,,,,,,,
Judd Farris,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 020 7494 2555,,,,,,,,,,,,,,
Julie Watterston Associates,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)118 934 5542.,,julie@watterston.com,,,,,,,,,,,,
Just,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,020 7153 8150,,www.justcomm.net,,,,,,,,,,,
Just Customer Communication,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7324 8000,,,,,,,,,,,,,,
Just Customer Communications2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7324 8000,,,www.justcomm.net,,,,,,,,,,,
Just Fabrics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01993 823 690,,,,,,,,,,,,,,
Just Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 803 4400,0207 021 0858,,,,,,,,,,,,,
K2 Direct Mail Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,08450 515 222,08450 515 200,,www.k2direct.com,,,,,,,,,,,
Kable Public Relations. Bp,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kaizo2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 5808852,,,,,,,,,,,,,,
Kall Kwik Southwark,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7787 7787,020 7787 7788,,,,,,,,,,,,,
Kalmars,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kangol Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 939 9080,0207 378 9069,,,,,,,,,,,,,
Karachaganak Petroleum Operating b.v.,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+7 571 222 2313,,,,,,,,,,,,,,
Karrot Project,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kathmandu UK Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7903 5077,020 7903 5076,,www.kathmundu.co.uk,,,,,,,,,,,
Kay & Co ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0161 615 1615,0161 615 5125,,,,,,,,,,,,,
Kelly Services (UK) Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8481 1200,,,,,,,,,,,,,,
Kelso Place Asset Management,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7836 0000,,,,,,,,,,,,,,
Kenneth Harvey Antiques,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7352 3775,,,,,,,,,,,,,,
Kenny Dalton,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kensington House Hotel,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7937 2345,020 7368 6700,,www.kenhouse.com,,,,,,,,,,,
Kensington Publications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7717 0077,,,,,,,,,,,,,,
Kent County Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kent County Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01622 22 12 08,,,www.kent.gov.uk,,,,,,,,,,,
Kent Messenger Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 404 6116,0171 404 6345,,,,,,,,,,,,,
Kent Messenger Group2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01622 717880,,,,,,,,,,,,,,
Kenya Airways Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kern UK,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01489 564 141,,,,,,,,,,,,,,
Kestrel World Com,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8543 2299,,,,,,,,,,,,,,
Ketchum,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020-7611-3500,020-7611-3501,,,,,,,,,,,,,
Kettering General Hospital,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01536 492576,,,,,,,,,,,,,,
Key Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7580 0222,,,,,,,,,,,,,,
Key Publishing Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01780 755 131,,,,,,,,,,,,,,
Keystone Development Trust,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+44 (0)1842 754 639,,,http://www.keystonetrust.org.uk/,,,,,,,,,,,
Keytime Engineering services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kidde Fenwal,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kier Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01767 640111,,,,,,,,,,,,,,
Kier Group Plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kimber Magazines Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kimberly - Clark,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01732 594000,01732 594001,,,,,,,,,,,,,
King UK Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01442 229400,,,www.king-uk.com,,,,,,,,,,,
"King's College Corporate Personnel
Employment Relations & Operational Policy Team",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7848 3471,,,,,,,,,,,,,,
King's College Hospital,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7737 4000,020 7346 3445,info@kingsch.nhs.uk,www.kingsch.nhs.uk,,,,,,,,,,,
Kingston Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01482 602 100,,,,,,,,,,,,,,
Kini Mini,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kinross & Render,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7592 3100,,,,,,,,,,,,,,
Kirkdale Learning Centre,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8699 6245,,,,,,,,,,,,,,
Klick Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0800 026 9412,,,,,,,,,,,,,,
KLP Euro RSCG,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 478 3478,,,www.eurorscg.com,,,,,,,,,,,
KMS Components,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0292 0713726,,,www.kmscomponents.com,,,,,,,,,,,
Knowledge Pool Group Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 320 9000,0870 320 9090,info@knowledgepool.com,www.knowledgepool.com,,,,,,,,,,,
Kodak Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8427 4380,,,,,,,,,,,,,,
Koforidua Polytechnic,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Komfort Office Environments plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01293 592500,,,,,,,,,,,,,,
KPMG,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0131 527 6600,,,,,,,,,,,,,,
KPMG Greece,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
KSL Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kuwait Airways,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7412 0006,,,,,,,,,,,,,,
Kuwait Petroleum Corporation,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,00965 398 7485,00965 398 9027,qhtani@kpc.com.kw,,,,,,,,,,,,
Kwan Thai (Restaurant),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Kyte Group Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7390 7777,020 7390 7778,,,,,,,,,,,,,
L L P Ltd Informmer Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
L.A.Fitness,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7366 8080,020 7366 8081,,,,,,,,,,,,,
"L.B. of Southwark, Education Dept.",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 525 5050 (Education),,,,,,,,,,,,,,
La Senza Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8569 3000,,,www.lasenza.co.uk,,,,,,,,,,,
Labmetrix Technologies,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,07736 082699,,,,,,,,,,,,,,
Lafone House Reception,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Lakefield E-Technology,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,00 353 58 45670,,,,,,,,,,,,,,
Lam Research Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0041 32 92 42 930,0041 32 92 42 998,,www.lamrc.com,,,,,,,,,,,
Lambeth Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Lanarkshire Acute Hospitals NHS Trust,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01698 361 100,,,,,,,,,,,,,,
Lancaster Cleaning,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01689 860 101,,,,,,,,,,,,,,
